bundle_relative_path,source_path,exists,sha256,claim_boundary
reports/ugc12506_beta_closure_transfer_carrier_freeze_gate.md,reports/ugc12506_beta_closure_transfer_carrier_freeze_gate.md,True,a0e258365d155e4ebc4626b0f33ac7fc5e2e1ccc20ee9e96f970e4d73ae24d99,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_transfer_carrier_route_decision_matrix.csv,data/derived/ugc12506_beta_closure_transfer_carrier_route_decision_matrix.csv,True,d406741458954e5cd310bdb075e5da8a28ac4428356d61845a84612d5bb29ab6,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_transfer_carrier_freeze_summary.csv,data/derived/ugc12506_beta_closure_transfer_carrier_freeze_summary.csv,True,2c0c94061f6e69c6a27105e7545bd678d996248850b46f1ef8b7569ce2051861,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_transfer_carrier_freeze_gates.csv,data/derived/ugc12506_beta_closure_transfer_carrier_freeze_gates.csv,True,f436e836bf223b8fecc54e93408422ab994418e1ca17b67649ce0012b0b62606,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_transfer_candidates.csv,data/derived/ugc12506_beta_closure_transfer_candidates.csv,True,2086838604251df9334f4df58911e1a34238e633778c76b8133d6cd8a1dd06a3,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_transfer_priority_gate.csv,data/derived/ugc12506_beta_closure_transfer_priority_gate.csv,True,98f4c248679bc6ad3a35cb94002cb049b5348149c252b82bef341558db9e844c,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/fast_sparc_rotation_curve_packet_galaxy_summary.csv,data/derived/fast_sparc_rotation_curve_packet_galaxy_summary.csv,True,46e8d96ae14527545d4c3055e7f4dcc2b718db4aa6125150198557664e7b6296,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_carrier_review_obligations.csv,data/derived/ugc12506_beta_closure_carrier_review_obligations.csv,True,4d07da4e1363339f6beb8796aef9cc70deccaded4fb69945b1c4a77b65a5df87,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
data/ugc12506_beta_closure_carrier_review_forbidden_inputs.csv,data/derived/ugc12506_beta_closure_carrier_review_forbidden_inputs.csv,True,b1497f5706b02b5b0484d78a6ed2a7c2fa8ff497ed85ce1b636319a6d1be5430,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
response/ugc12506_beta_closure_carrier_review_response_blank.csv,data/derived/ugc12506_beta_closure_carrier_review_response_blank.csv,True,435bc638f968354da64b915a180de2a028083fbc11a0fc64137fdaae1b064d18,ugc12506_beta_closure_carrier_review_bundle_not_endpoint
