galaxy,source_status,source_note,n_points,phase_load_source_frozen,amplitude_full_time_km2_s2,rmse_base_projection_morphology_km_s,rmse_full_time_morphology_km_s,full_time_minus_base_rmse_km_s,improves_base,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
NGC4013,warp_vertical_overlay,edge-on warp plus vertical-overlay source context,36,0.18,116.69476536078693,11.450495413211733,11.51064110706685,0.06014569385511592,False,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,warp_history_asymmetric_projection,strong warp/history/asymmetry plus companion context,12,0.35,1953.9673156581264,11.619037989026097,9.391189531692833,-2.2278484573332644,True,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,weak_projection_null_control,weak projection/null-control case; phase effect expected to be small,23,0.03,7.158900844722235,6.247271806202044,6.245360874977288,-0.0019109312247564958,True,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,edgeon_projection_vertical_warp,edge-on projection and warp/truncation context,19,0.12,116.74597385113914,15.495197149438468,15.49504368708925,-0.0001534623492176479,True,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,vertical_outer_warp_overlay,outer warp / vertical-scale mixed readout context,36,0.1,127.13358582868196,22.255665651220575,22.27851160075763,0.022845949537053656,False,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
