galaxy,r_kpc,vobs_km_s,err_km_s,v_base_projection_km_s,v_additive_warp_history_km_s,K_time_shape_source_frozen,epsilon_clock_candidate,Xi_eff_clock,v_clock_only_on_base_km_s,v_additive_plus_clock_stress_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
NGC4088,1.74,84.9,,96.9584818362994,96.9584818362994,0.0,0.0202631578947368,1.0,96.9584818362994,96.9584818362994,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,3.5,136.0,,127.47013944449893,127.47013944449893,0.0,0.0202631578947368,1.0,127.47013944449893,127.47013944449893,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,5.24,162.0,,171.20843495575795,171.20843495575795,0.0,0.0202631578947368,1.0,171.20843495575795,171.20843495575795,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,6.98,179.0,,189.93112935473445,189.9707308035631,0.0076995474562962,0.0202631578947368,1.000156017145825,189.96076186743971,190.00036949477337,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,8.72,182.0,,180.5957383091584,180.88873599660147,0.0542046502873498,0.0202631578947368,1.0010983573874015,180.7940969724635,181.08741647608105,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,10.47,179.0,,176.19631257983576,176.83212707807527,0.1148742859855711,0.0202631578947368,1.0023277157949708,176.60644751964347,177.2437420133332,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,12.19,174.0,,173.21424801823989,174.30870448060514,0.1946546076460365,0.0202631578947368,1.0039443170496696,173.89745992994392,174.99623327559382,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,13.94,171.0,,164.13238144201003,165.9170782941362,0.3014575664171982,0.0202631578947368,1.0061084822668749,165.13498118346848,166.9305798246676,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,15.68,168.0,,158.23835892504272,160.90290371307907,0.4351998015500748,0.0202631578947368,1.0088185222945674,159.63378742107895,162.3218295567335,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,17.42,165.0,,154.64934669359516,158.35577569327464,0.5937311506524169,0.0202631578947368,1.0120308680526937,156.50991257810108,160.26093313602237,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,19.28,171.0,,151.98280467294,156.92265054402307,0.7809472171209713,0.0202631578947368,1.0158244567679775,154.38784999496292,159.4058662434734,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
NGC4088,21.48,174.0,,150.00248817994486,156.38002997772006,1.0,0.0202631578947368,1.0202631578947368,153.04201228253848,159.54878321674227,False,True,False,ngc4088_time_projection_ablation_control_replay_not_endpoint
