galaxy,radius_kpc,vobs_kms,errv_kms,v_baryon_050_kms,v_source_native_nfw_hse_positive_kms,v_source_derived_beta_closure_kms,beta_source_closure,uses_vobs_or_residual_for_beta,post_diagnostic_candidate,endpoint_validation_claim,claim_boundary
UGC12506,0.82,107.0,25.6,24.50672152696072,54.16659881064967,99.13388030902769,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,2.46,159.0,26.5,60.784518588206325,96.37395661334467,160.65941436146034,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,4.1,194.0,13.9,82.39705607605165,120.25187486866028,192.67346711724704,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,5.74,198.0,14.6,94.39728915599218,133.97466083057077,211.30676234512504,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,7.38,211.0,13.2,102.35647707888349,142.93610444976235,223.24139076340867,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,9.02,222.0,13.6,112.64485474268233,152.51009957136932,233.4241860765204,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,10.65,230.0,11.6,120.1045819275851,159.39205616452023,240.51053457762802,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,12.29,239.0,11.6,124.85068061488492,163.8237840457234,245.10169051281727,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,13.93,237.0,11.6,127.22469276834588,166.14422953067793,247.65819997478943,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,15.57,240.0,11.6,130.79888703654936,169.17115758386203,250.24700052203005,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,17.21,245.0,11.6,133.87144785203455,171.6685393279122,252.164633538132,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,18.85,249.0,11.6,134.5470664860442,172.1883061214665,252.50342238870002,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,20.49,248.0,11.6,133.17119658544786,171.01911486491775,251.51425757734356,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,22.13,250.0,11.6,131.19274408289508,169.3189040123494,250.03295094698052,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,23.77,255.0,11.6,128.3023622151985,166.87197425236428,247.95035336481735,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,25.41,244.0,14.9,125.1339624162841,164.18893848243025,245.64049015626262,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
