galaxy,inclination_deg,rhi_over_rdisk,mhi_1e9_msun,vflat_km_s,gas_to_l36,extent_load,velocity_load,gas_load,edgeon_load,spin_envelope_exposure_proxy,lambda_spin_proxy_candidate,nfw_preference_load,chi2_ISO_over_NFW,proxy_status,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary,transfer_proxy_priority,transfer_proxy_class,proxy_rank
NGC0891,90.0,7.121568627450981,4.462,216.1,0.032253867283504406,0.3901960784313726,0.35062499999999996,0.47378430314170017,1.0,0.4926709532364054,0.14926709532364055,0.2254335260115607,1.2254335260115607,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.1110645501515596,PRIMARY_PROXY_TRANSFER_REVIEW_TARGET,1
NGC7331,75.0,5.380478087649403,11.067,239.0,0.04415654887065048,0.17255976095617542,0.49375,0.6949801289914312,0.0,0.3575784485825192,0.13575784485825193,0.1728395061728393,1.1728395061728394,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.061803682471052626,SECONDARY_PROXY_TRANSFER_REVIEW_TARGET,2
NGC2841,76.0,12.395604395604394,9.775,284.8,0.051961237714024486,1.0,0.78,0.6633782817439203,0.06666666666666667,0.72084457043598,0.172084457043598,0.0675675675675675,1.0675675675675675,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.04870571421864725,SECONDARY_PROXY_TRANSFER_REVIEW_TARGET,3
NGC0801,80.0,5.159403669724771,23.201,220.1,0.07422657324759255,0.14492545871559637,0.375625,0.8891801632268598,0.3333333333333333,0.41692520135717365,0.14169252013571737,0.0443131462333827,1.0443131462333828,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.018475267416122963,SECONDARY_PROXY_TRANSFER_REVIEW_TARGET,4
NGC4013,89.0,8.881019830028329,2.967,172.9,0.03751232710445799,0.6101274787535411,0.08062500000000003,0.3845410517422526,0.9333333333333333,0.4698361304993025,0.14698361304993024,0.0370370370370369,1.037037037037037,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.01740133816664077,SECONDARY_PROXY_TRANSFER_REVIEW_TARGET,5
ESO563-G021,83.0,10.222018348623854,24.298,314.6,0.07808417717247738,0.7777522935779817,0.9662500000000002,0.901551072203136,0.5333333333333333,0.8191635708030776,0.18191635708030776,0.0,0.6459530026109661,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,6
UGC11455,90.0,7.325463743676223,13.335,269.4,0.03562440893134788,0.41568296795952786,0.6837499999999999,0.7430417266003086,1.0,0.6521869704359119,0.1652186970435912,0.0,0.4444444444444444,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,7
IC4202,90.0,6.7217573221757325,12.326,242.6,0.06857339957385021,0.34021966527196656,0.51625,0.7226742926761468,1.0,0.578807956014225,0.1578807956014225,0.0,0.429846306395637,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,8
NGC4157,82.0,10.383620689655173,8.226,184.7,0.07788297670895664,0.7979525862068966,0.15437499999999993,0.6200680457664738,0.4666666666666667,0.5428941666140322,0.15428941666140325,0.0,0.9183673469387756,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,9
NGC3521,75.0,7.854166666666668,4.154,213.7,0.048965062001980295,0.4817708333333335,0.33562499999999995,0.45758739953433536,0.0,0.36692289155025054,0.13669228915502504,0.0,0.8,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,10
NGC4217,86.0,5.680272108843537,2.562,181.3,0.030035522104596767,0.21003401360544216,0.13312500000000008,0.3544901552591665,0.7333333333333333,0.3054156935766964,0.13054156935766967,0.0,0.5962566844919786,SOURCE_PROXY_DECLARED_NOT_ACCEPTED_LAMBDA_SPIN,False,False,ugc12506_beta_closure_source_declared_spin_proxy_gate_not_endpoint,0.0,CONTROL_OR_ALTERNATIVE_BRANCH,11
