galaxy,model,rmse_km_s,score_role,endpoint_scores_allowed,endpoint_validation_claim,figure_png,claim_boundary
NGC4013,Newtonian,65.6912991112144,baseline,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4013,TPG/v6 carrier,12.273912532057183,internal_predecessor_comparator,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4013,MOND proxy,14.334222058319126,baseline_proxy,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4013,compact proxy,16.993568528803053,source_rejected_starting_proxy,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4013,WVO caveated endpoint,11.450495413211733,caveated_preliminary_endpoint_control,True,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4013,expdisk+WVO prospective,10.614758288774297,prospective_protocol_not_retroactive_endpoint,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4013_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,Newtonian,25.396289301523897,best_local_baseline,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,TPG/v6 carrier,38.98773649865968,internal_predecessor_comparator,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,MOND proxy,42.18384581680386,baseline_proxy,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,wrong-family thick/flared,38.45537793639492,wrong_family_control,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,accepted warp/history,11.619037989026097,caveated_accepted_endpoint_preliminary_control,True,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,additive control,9.391189531692833,control_replay_not_new_endpoint,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,clock-only control,10.495900828483723,diagnostic_control_not_endpoint,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
NGC4088,additive+clock stress,8.383519543128738,stress_control_double_count_blocked,False,False,papers/paper2_projection_enriched/source/figures/fig_ngc4088_strengthened_rotation_comparison.png,ngc4088_ngc4013_strengthened_rotation_comparison_visualization_not_new_fit
