galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary,radial_zone,wvo_minus_tpg,wvo_residual,tpg_residual
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,195.85530720849235,191.60745568351868,185.90179958008932,188.4964229201895,1.0,0.1443353575911997,0.17472335468841,0.0,0.1063529040932032,0.023021773215356,-837.4875485609809,188.5220858372379,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.208258882693542,8.52208583723791,10.730344719931452
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,194.73095355212436,189.87273505501437,183.93465723569017,186.62442248263207,1.0,0.1376047808827655,0.1668520578420467,0.0,0.1014856129082707,0.0219681708263284,-784.3938910349243,186.87303851997964,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-2.0870800678449086,23.873038519979644,25.960118587824553
NGC4013,15.68,162.0,6.0,117.54869276176576,187.33128715477463,189.9039745094725,193.69821942604457,188.2731728188716,182.14469072788967,184.91180117338172,1.0,0.1322742805483241,0.1605995717344753,0.0,0.0976246174275998,0.0211323971058137,-741.5994471985177,185.34133834594513,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.9899488088294959,23.341338345945132,25.33128715477463
NGC4013,16.37,164.0,5.0,114.53626268566649,185.7225326397423,188.44406453744952,192.70977605821355,186.69171249311248,180.3872514854677,183.2251590700704,1.0,0.1274092403950865,0.1548786783686112,0.0,0.0940959729212325,0.0203685660259214,-702.5700786146554,183.82135091306856,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.901181726673741,19.821350913068557,21.722532639742298
NGC4013,17.19,166.0,5.0,111.23102503348603,183.93291338243915,186.87628269379215,191.6952124563503,184.93198957558744,178.437487552436,181.3506918512564,1.0,0.1220734707138991,0.1485884101040119,0.0,0.0902206269393036,0.0195296859117609,-660.7149876744588,182.1279814791714,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.804931903267743,16.12798147917141,17.932913382439153
NGC4013,17.88,166.0,5.0,108.57719751402684,182.43308067325452,185.59961425638457,190.8830473805322,183.4557770049871,176.8136873444035,179.78455174086594,1.0,0.117918080729327,0.1436781609195402,0.0,0.087198747216289,0.0188755521082649,-628.2128961120798,180.7031157114401,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.7299649618144315,14.703115711440091,16.433080673254523
NGC4013,18.58,166.0,5.0,106.10852274911755,181.03902172900663,184.45838501038313,190.21427007067007,182.08364943725195,175.30754378945133,178.32968440231886,1.0,0.1139818973110079,0.139017608897127,0.0,0.0843331687360449,0.0182552521882442,-598.3182159806493,179.37895409611207,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.6600676328945667,13.378954096112068,15.039021729006635
NGC4013,19.39,166.0,5.0,103.59573070353817,179.67369927722612,183.40823268630876,189.7167729931556,180.7406791845039,173.8325793787291,176.90351771444534,1.0,0.1097429451476593,0.1339883876730683,0.0,0.0812437776069092,0.0175865044699293,-567.7387612158018,178.0867750585295,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.5869242186966233,12.086775058529497,13.67369927722612
NGC4013,20.09,168.0,5.0,101.5419823028879,178.5247125807357,182.554765024668,189.35041704844485,179.60950884120132,172.59991275571903,175.70729607726915,1.0,0.1063257170006533,0.1299263750541359,0.0,0.0787506973515964,0.0170468376998034,-543.3010087842667,176.99653102038477,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.5281815603509301,8.996531020384765,10.524712580735695
NGC4013,20.79,172.0,5.0,99.55126980606526,177.3594781033363,181.7067042856233,189.00067067875963,178.46105638521166,171.35928091267954,174.49888564328168,1.0,0.103114876805675,0.1261034047919293,0.0,0.0764060938658681,0.0165393110818083,-520.2669283093674,175.8866610768948,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.4728170264415041,3.8866610768947965,5.359478103336301
NGC4013,21.48,173.0,5.0,97.796003650456,176.36856723715874,181.0365942502915,188.83466873913684,177.48466862553715,170.30786868417567,173.47207402072914,1.0,0.1001342068906519,0.1225490196078431,0.0,0.074227742166165,0.016067772300226,-499.8020606113314,174.94590434953557,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.4226628876231757,1.9459043495355672,3.368567237158743
NGC4013,22.3,171.0,5.0,96.00005505206754,175.43812498052307,180.4893007070894,188.8315162381465,176.5686263477145,169.32469142600044,172.5082202840156,1.0,0.0968085974328697,0.1185770750988142,0.0,0.0717952241772279,0.0155412151933838,-478.33584659937696,174.06952590870767,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.368599071815396,3.069525908707675,4.438124980523071
NGC4013,22.99,170.0,5.0,94.6452644351528,174.77284378590178,180.150326660186,187.82418617953763,175.91366184308376,168.62762328577182,171.82098096917036,1.0,0.0941767086627128,0.1154290111581377,0.0,0.0698685732736168,0.0151241610419596,-461.9757708086035,173.4461621201306,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.32668166577119,3.4461621201305945,4.7728437859017845
