galaxy,model_id,model_role,n_points,rmse_km_s,weighted_rmse_km_s,mae_km_s,bias_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
NGC4013,base_projection_morphology,reference,36,11.450495413211733,11.84837273027932,9.772576151839822,5.689546738973908,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,full_time_morphology_additive_proxy,reference,36,11.510641107066853,11.892525115343208,9.824947194833932,5.91444520634661,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,xi_t_on_base_projection_morphology,time_readout_diagnostic,36,11.953218245765914,12.221201247586823,10.179093447096076,7.000973585616695,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,xi_t_on_full_time_morphology,time_readout_diagnostic,36,12.042546594537287,12.290533785190005,10.23515906844822,7.227990492267746,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4088,xi_t_on_full_time_morphology,time_readout_diagnostic,12,8.349016673440337,,7.05290495065164,-1.5046385539675597,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4088,full_time_morphology_additive_proxy,reference,12,9.391189531692833,,7.906409277901408,-2.4820172651971433,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4088,xi_t_on_base_projection_morphology,time_readout_diagnostic,12,10.456107009259346,,8.69602128819151,-3.3245619206225783,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4088,base_projection_morphology,reference,12,11.619037989026097,,9.64301899012717,-4.276677965661871,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4183,xi_t_on_full_time_morphology,time_readout_diagnostic,23,6.238315821221436,6.250107201925119,4.867648347886508,-2.836187199486586,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4183,xi_t_on_base_projection_morphology,time_readout_diagnostic,23,6.240015264985298,6.250014978876199,4.869172265839023,-2.847406016059867,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4183,full_time_morphology_additive_proxy,reference,23,6.245360874977287,6.246354242182931,4.873508898531285,-2.9031006511990096,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4183,base_projection_morphology,reference,23,6.247271806202044,6.246443913188291,4.875029112322313,-2.914307119829639,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC5907,full_time_morphology_additive_proxy,reference,19,15.49504368708925,8.751337283203199,9.216830701058377,-6.2090608677779295,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC5907,base_projection_morphology,reference,19,15.495197149438468,8.72696088840644,9.25559096706353,-6.332779810240593,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC5907,xi_t_on_base_projection_morphology,time_readout_diagnostic,19,15.520294048353687,8.910960068281305,9.139312152562319,-5.612497686641554,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC5907,xi_t_on_full_time_morphology,time_readout_diagnostic,19,15.529366387622103,8.950412765068522,9.11957314643001,-5.488117933310275,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC7331,base_projection_morphology,reference,36,22.255665651220575,17.211714808838437,17.631008803933224,16.255883435225396,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC7331,full_time_morphology_additive_proxy,reference,36,22.27851160075763,17.270475084061097,17.66042974907885,16.37318132538298,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC7331,xi_t_on_base_projection_morphology,time_readout_diagnostic,36,22.41061835534807,17.57766893005245,17.88631020123288,16.90739539942921,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC7331,xi_t_on_full_time_morphology,time_readout_diagnostic,36,22.439300497913788,17.643931667913737,17.93021571958375,17.025245512788455,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
UGC12506,xi_t_on_full_time_morphology,time_readout_diagnostic,31,62.96785163533952,64.26292536652217,60.88651856075131,-60.88651856075131,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
UGC12506,full_time_morphology_additive_proxy,reference,31,64.11917934006436,65.32423872919013,62.44768637364558,-62.44768637364558,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
UGC12506,xi_t_on_base_projection_morphology,time_readout_diagnostic,31,67.9037269996862,68.81534773966264,66.97049314095771,-66.97049314095771,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
UGC12506,base_projection_morphology,reference,31,69.17884679750473,70.0189042275307,68.42763012465839,-68.42763012465839,False,True,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
