galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary,K_full_time_morph_phase,phase_load_source_frozen,A_full_time_morph_phase_km2_s2,v2_full_time_morphology_km2_s2,v_full_time_morphology_km_s,construction_used_vobs,endpoint_validation_claim,full_time_claim_boundary,r_plot_kpc,vobs_plot_km_s,err_plot_km_s,v_carrier_plot_km_s,v_base_plot_km_s,base_column,carrier_column,kernel_column,source_status,projection_kernel,projection_attenuation,delta_v2_projection,v_projection_accepted,mixed_kernel,mixed_attenuation,v_mixed_population,scoring_used_vobs,split,x_R_over_RHI,r_kpc,x_w_formula_freeze,kernel_warp_history,lambda_w_km2_s2,delta_v2_warp_history_km2_s2,v_warp_history_formula_freeze_km_s,residual_vn,residual_v_v6,residual_v_mond,residual_v_K_compact_finite,residual_v_K_scale_tail_spiral,residual_v_K_exponential_disk,residual_v_K_thick_flared,residual_v_warp_history_formula_freeze_km_s,v2_ratio_min,v2_ratio_max,v_null_control_interval_min_km_s,v_null_control_interval_max_km_s,v_null_control_interval_midpoint_km_s,null_control_formula_id,null_control_interval_distance_km_s,inside_null_control_interval,point_selected_from_residual
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,198.4052036508328,195.1153083623937,189.86753096942363,192.27152792928104,1.0,0.1576642814755454,0.1902346227013316,0.0,0.1159663013922923,0.0251027455624279,-947.767753791566,191.85352179124797,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7506012286365791,0.18,116.69476536078693,36895.36505796012,192.0816624718771,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,12.77,186.0,5.0,194.3078525883512,191.85352179124797,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,197.0028760649589,193.24906395317367,187.76268228285903,190.26650918464424,1.0,0.1507056797581336,0.1821493624772313,0.0,0.1109516807451216,0.0240172513741447,-889.1140351696376,190.08075649647705,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7518775306220159,0.18,116.69476536078693,36218.434162288984,190.31141364166518,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,13.47,185.0,6.0,192.40532223782853,190.08075649647705,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,195.85530720849235,191.60745568351868,185.90179958008932,188.4964229201895,1.0,0.1443353575911997,0.17472335468841,0.0,0.1063529040932032,0.023021773215356,-837.4875485609809,188.5220858372379,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7516592237658387,0.18,116.69476536078693,35628.29154517152,188.7545801965386,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,14.17,180.0,10.0,190.73034471993145,188.5220858372379,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,194.73095355212436,189.87273505501437,183.93465723569017,186.62442248263207,1.0,0.1376047808827655,0.1668520578420467,0.0,0.1014856129082707,0.0219681708263284,-784.3938910349243,186.87303851997964,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7513196004914772,0.18,116.69476536078693,35009.207590180114,187.10747604032318,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,14.98,163.0,8.0,188.96011858782455,186.87303851997964,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,15.68,162.0,6.0,117.54869276176576,187.33128715477463,189.9039745094725,193.69821942604457,188.2731728188716,182.14469072788967,184.91180117338172,1.0,0.1322742805483241,0.1605995717344753,0.0,0.0976246174275998,0.0211323971058137,-741.5994471985177,185.34133834594513,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7541753298425425,0.18,116.69476536078693,34439.42001302298,185.5786087161529,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,15.68,162.0,6.0,187.33128715477463,185.34133834594513,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,16.37,164.0,5.0,114.53626268566649,185.7225326397423,188.44406453744952,192.70977605821355,186.69171249311248,180.3872514854677,183.2251590700704,1.0,0.1274092403950865,0.1548786783686112,0.0,0.0940959729212325,0.0203685660259214,-702.5700786146554,183.82135091306856,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7598440582556372,0.18,116.69476536078693,33878.95887559442,184.06237767559784,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,16.37,164.0,5.0,185.7225326397423,183.82135091306856,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,17.19,166.0,5.0,111.23102503348603,183.93291338243915,186.87628269379215,191.6952124563503,184.93198957558744,178.437487552436,181.3506918512564,1.0,0.1220734707138991,0.1485884101040119,0.0,0.0902206269393036,0.0195296859117609,-660.7149876744588,182.1279814791714,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.769899378839548,0.18,116.69476536078693,33260.444865042504,182.37446330295944,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,17.19,166.0,5.0,183.93291338243915,182.1279814791714,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,17.88,166.0,5.0,108.57719751402684,182.43308067325452,185.59961425638457,190.8830473805322,183.4557770049871,176.8136873444035,179.78455174086594,1.0,0.117918080729327,0.1436781609195402,0.0,0.087198747216289,0.0188755521082649,-628.2128961120798,180.7031157114401,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7808100774933037,0.18,116.69476536078693,32744.732476606525,180.9550565101913,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,17.88,166.0,5.0,182.43308067325452,180.7031157114401,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,18.58,166.0,5.0,106.10852274911755,181.03902172900663,184.45838501038313,190.21427007067007,182.08364943725195,175.30754378945133,178.32968440231886,1.0,0.1139818973110079,0.139017608897127,0.0,0.0843331687360449,0.0182552521882442,-598.3182159806493,179.37895409611207,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.7938240635609688,0.18,116.69476536078693,32269.444285450074,179.63697917035367,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,18.58,166.0,5.0,181.03902172900663,179.37895409611207,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,19.39,166.0,5.0,103.59573070353817,179.67369927722612,183.40823268630876,189.7167729931556,180.7406791845039,173.8325793787291,176.90351771444534,1.0,0.1097429451476593,0.1339883876730683,0.0,0.0812437776069092,0.0175865044699293,-567.7387612158018,178.0867750585295,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8108855894915683,0.18,116.69476536078693,31809.52555434745,178.35225132962984,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,19.39,166.0,5.0,179.67369927722612,178.0867750585295,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,20.09,168.0,5.0,101.5419823028879,178.5247125807357,182.554765024668,189.35041704844485,179.60950884120132,172.59991275571903,175.70729607726915,1.0,0.1063257170006533,0.1299263750541359,0.0,0.0787506973515964,0.0170468376998034,-543.3010087842667,176.99653102038477,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8269718072199364,0.18,116.69476536078693,31424.27527425354,177.26893488215453,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,20.09,168.0,5.0,178.5247125807357,176.99653102038477,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,20.79,172.0,5.0,99.55126980606526,177.3594781033363,181.7067042856233,189.00067067875963,178.46105638521166,171.35928091267954,174.49888564328168,1.0,0.103114876805675,0.1261034047919293,0.0,0.0764060938658681,0.0165393110818083,-520.2669283093674,175.8866610768948,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8439417109045715,0.18,116.69476536078693,31034.60112471065,176.16640180440382,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,20.79,172.0,5.0,177.3594781033363,175.8866610768948,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,21.48,173.0,5.0,97.796003650456,176.36856723715874,181.0365942502915,188.83466873913684,177.48466862553715,170.30786868417567,173.47207402072914,1.0,0.1001342068906519,0.1225490196078431,0.0,0.074227742166165,0.016067772300226,-499.8020606113314,174.94590434953557,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8612037030747075,0.18,116.69476536078693,30706.567412734992,175.23289477930504,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,21.48,173.0,5.0,176.36856723715874,174.94590434953557,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,22.3,171.0,5.0,96.00005505206754,175.43812498052307,180.4893007070894,188.8315162381465,176.5686263477145,169.32469142600044,172.5082202840156,1.0,0.0968085974328697,0.1185770750988142,0.0,0.0717952241772279,0.0155412151933838,-478.33584659937696,174.06952590870767,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8819640764796719,0.18,116.69476536078693,30403.12044104369,174.36490599040764,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,22.3,171.0,5.0,175.43812498052307,174.06952590870767,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,22.99,170.0,5.0,94.6452644351528,174.77284378590178,180.150326660186,187.82418617953763,175.91366184308376,168.62762328577182,171.82098096917036,1.0,0.0941767086627128,0.1154290111581377,0.0,0.0698685732736168,0.0151241610419596,-461.9757708086035,173.4461621201306,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.8992756916904311,0.18,116.69476536078693,30188.5119200391,173.74841559001078,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,22.99,170.0,5.0,174.77284378590178,173.4461621201306,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,23.69,172.0,5.0,93.46625128890106,174.27639796507236,179.9803547810016,186.98878842787852,175.42559556120383,168.1128141365287,171.30903790031638,1.0,0.0916489815009202,0.1124016485575121,0.0,0.0680168766861441,0.0147233319412978,-447.18090830367873,172.9886758703488,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9163568109558916,0.18,116.69476536078693,30032.016022417854,173.2974784075575,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,23.69,172.0,5.0,174.27639796507236,172.9886758703488,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,24.39,173.0,5.0,92.66651471810084,174.19300287431352,180.19633943618277,186.55813846194056,175.34697454374137,168.03323074778044,171.2208888114309,1.0,0.0892533972868629,0.1095290251916757,0.0,0.0662608074928462,0.0143432029070859,-435.2187067278137,172.93924812963303,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.93264247316757,0.18,116.69476536078693,30016.818038214577,173.25362344901933,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,24.39,173.0,5.0,174.19300287431352,172.93924812963303,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,25.2,176.0,5.0,91.64455232036435,173.92830425976595,180.2974853817498,185.92582115926876,175.08785240319585,167.77493046132264,170.951968649084,1.0,0.0866330761858673,0.1063829787234042,0.0,0.0643386849697572,0.0139271289954614,-421.3103455496348,172.7128966728544,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9500952505224626,0.18,116.69476536078693,29940.615819458202,173.03356847576774,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,25.2,176.0,5.0,173.92830425976595,172.7128966728544,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,25.9,178.0,5.0,90.40273292329164,173.2079020093131,179.9421148191226,184.93687564562023,174.37471570300883,167.04847364614773,170.2226876980032,1.0,0.084489468249486,0.1038062283737024,0.0,0.0627652322077295,0.0135865301847253,-407.6091839086221,172.0272307937298,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9636391101120819,0.18,116.69476536078693,29705.81977440619,172.35376344717915,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,25.9,178.0,5.0,173.2079020093131,172.0272307937298,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,26.59,180.0,6.0,89.18344829619451,172.4563937072638,179.56079574004715,183.9371431791141,173.62999369634989,166.29482646635972,169.464463497887,1.0,0.0824778299427495,0.1013856032443393,0.0,0.0612878110623629,0.0132667189408086,-394.56824392094495,171.30860890975046,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9752982232513527,0.18,116.69476536078693,29460.451683912943,171.640472161763,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,26.59,180.0,6.0,172.4563937072638,171.30860890975046,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,27.41,180.0,8.0,87.74860380655637,171.5219150399405,179.07802015464898,182.72664183871623,172.703088867776,165.3626480720491,168.5245758355302,1.0,0.0802083229874081,0.0986517592897073,0.0,0.0596200274257051,0.0129057007158454,-379.6827124065312,170.4115155339041,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9865989754100405,0.18,116.69476536078693,29155.2155625027,170.74898407458446,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,27.41,180.0,8.0,171.5219150399405,170.4115155339041,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,28.1,180.0,5.0,86.52238421356637,170.66250076795836,178.61202156456392,181.65208970416148,171.84995414607027,164.50738139490986,167.66188315568866,1.0,0.0783931923760068,0.0964630225080385,0.0,0.0582854049613484,0.0126168005117135,-367.4730100035413,169.58247597664638,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9936555507153615,0.18,116.69476536078693,28874.17055971002,169.9240140760276,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,28.1,180.0,5.0,170.66250076795836,169.58247597664638,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,28.8,180.0,5.0,85.39209723387755,169.89535169493118,178.2383983221232,180.6712954089033,171.08793931710352,163.75260085389442,166.89551388319933,1.0,0.0766338196041565,0.0943396226415094,0.0,0.0569911474152219,0.0123366379344596,-356.09002860268083,168.8441307802604,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9982478889256641,0.18,116.69476536078693,28624.83080211176,169.18874313059885,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,28.8,180.0,5.0,169.89535169493118,168.8441307802604,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,29.61,178.0,5.0,84.15713475398267,169.05393355663907,177.85249257296894,179.59281149657815,170.25153189481784,162.93214452413204,166.05845036887328,1.0,0.0746940397551459,0.0919963201471941,0.0,0.05556345330078,0.012027590895229,-343.73931601995355,168.03420227725243,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,1.0,0.18,116.69476536078693,28352.187900313373,168.38107940120045,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,29.61,178.0,5.0,169.05393355663907,168.03420227725243,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,30.31,174.0,5.0,83.25187103002551,168.50388313856828,177.68029451319774,178.83804477664282,169.70407116166675,162.4107431432425,165.51744754587497,1.0,0.0730950958345691,0.0900630441308916,0.0,0.0543860466551536,0.0117727225490473,-334.269487963782,167.50907182840126,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9981524507607424,0.18,116.69476536078693,28175.768310848314,167.85639192729099,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,30.31,174.0,5.0,168.50388313856828,167.50907182840126,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4013,31.01,170.0,10.0,81.92052642653123,167.34136167387393,176.96614568962613,177.51504765763414,168.54807637470952,161.2571155215835,164.35467161382297,1.0,0.0715631730616255,0.0882093501911202,0.0,0.0532575077509152,0.0115284324007001,-322.83220650970543,166.3739736868618,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,0.9929321956770241,0.18,116.69476536078693,27796.169109950286,166.72183153369653,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,31.01,170.0,10.0,167.34136167387393,166.3739736868618,v_wvo_endpoint,v_v6,K_wvo,warp_vertical_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5907,5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,,,,160.71239656097794,,,,,,,,,True,ngc5907_projection_accepted_endpoint_preliminary_control,0.0,0.12,116.74597385113914,26121.991217769577,161.6229909937617,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,5.03,214.0,6.0,161.6229909937617,161.6229909937617,v_projection_accepted,v_v6,projection_kernel,edgeon_projection_vertical_warp,0.0,0.0,0.0,161.6229909937617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5907,7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,,,,189.6354546571411,,,,,,,,,True,ngc5907_projection_accepted_endpoint_preliminary_control,0.0,0.12,116.74597385113914,36340.05747055285,190.6306834445936,False,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation,7.55,220.0,6.0,190.6306834445936,190.6306834445936,v_projection_accepted,v_v6,projection_kernel,edgeon_projection_vertical_warp,0.0,0.0,0.0,190.6306834445936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
