radius_kpc,vobs_kms,errv_kms,v_baryon_050_kms,v_envelope_positive_prefrozen_kms,v_source_native_nfw_hse_positive_kms,v_projection_history_incremental_positive_kms,v_theta_morph_phase_positive_kms,v_theta_xit_cap_only_control_kms,v_source_derived_beta_closure_kms
0.82,107.0,25.6,24.50672152696072,24.50672152696072,54.16659881064967,54.16659881064967,54.16659881064967,55.45813851674325,99.13388030902767
2.46,159.0,26.5,60.784518588206325,60.784518588206325,96.37395661334467,96.37395661334466,96.37395661334466,98.6718817984682,160.65941436146034
4.1,194.0,13.9,82.39705607605165,82.39705607605165,120.25187486866028,120.25187486866028,120.25187486866028,123.11914131210062,192.67346711724704
5.74,198.0,14.6,94.39728915599218,94.39728915599218,133.97466083057077,133.97466083057077,133.97466083057077,137.16913118448716,211.30676234512504
7.38,211.0,13.2,102.35647707888349,102.35647707888349,142.93610444976235,142.93610444976235,142.93610444976235,146.3442500299665,223.24139076340867
9.02,222.0,13.6,112.64485474268233,112.67730909125846,152.51009957136932,152.54658774158432,152.5743053332274,156.2122626315314,233.4241860765204
10.65,230.0,11.6,120.1045819275851,120.27161795058908,159.39205616452023,159.53951795342925,159.6514672067665,163.4581712192233,240.510534577628
12.29,239.0,11.6,124.85068061488492,125.28413867078346,163.8237840457234,164.1632328261292,164.42067483715778,168.34109507246225,245.10169051281727
13.93,237.0,11.6,127.22469276834588,128.07743924770242,166.14422953067793,166.76321472174573,167.2319831421775,171.21943576241532,247.65819997478943
15.57,240.0,11.6,130.79888703654936,132.21180961844237,169.17115758386203,170.15122534992443,170.89211553895768,174.96683976981527,250.24700052203005
17.21,245.0,11.6,133.87144785203455,135.9921408082595,171.6685393279122,173.09411418623168,174.16945423975343,178.3223228096564,252.164633538132
18.85,249.0,11.6,134.5470664860442,137.56347604831845,172.1883061214665,174.16014252131228,175.64352985196302,179.83154604465855,252.5034223887
20.49,248.0,11.6,133.17119658544786,137.30183822270175,171.01911486491775,173.64928678127978,175.62133871775174,179.80882578859752,251.51425757734356
22.13,250.0,11.6,131.19274408289508,136.64719474192873,169.3189040123494,172.7145851428638,175.25061593470653,179.4292635508926,250.03295094698052
23.77,255.0,11.6,128.3023622151985,135.32188664884842,166.87197425236428,171.15101480506365,174.33199343568754,178.4887375641442,247.95035336481735
25.41,244.0,14.9,125.1339624162841,133.9498183743009,164.18893848243025,169.46353582536972,173.36387989892,177.49754048327023,245.64049015626264
27.05,244.0,11.6,123.15285136772108,133.8865110957935,162.39301730056962,168.73474800265194,173.3981553785927,177.53263322199027,243.8712196535901
28.68,249.0,11.6,122.68695957598754,135.355480145084,161.72854893342844,169.16897449275453,174.6103209576239,178.7737014829335,242.8166340135866
30.32,251.0,11.6,122.5679507456986,137.2582723713601,161.3090686635929,169.9079897064059,176.160994798124,180.36134934211265,241.8890564400146
31.96,249.0,11.6,121.6038457451079,138.50355621534655,160.23585574404754,170.0846566582433,177.20212352904855,181.42730257973815,240.50200300290436
33.6,244.0,12.9,118.81256183585975,138.26600342142098,157.77393670192802,169.01788672841502,177.08430145826006,181.30667117836552,238.17616839592236
35.24,239.0,16.2,115.74568026496712,137.93182188027976,155.11343770257585,167.8347737273134,176.88976859036546,181.1074998999275,235.71466696367457
36.88,238.0,18.4,113.9756895131589,138.7884506345083,153.42751543275054,167.60503997868037,177.62207940456256,181.85727181588297,233.8925244431848
38.52,241.0,24.9,113.74959164761869,140.94494946853848,152.88891665309558,168.44896026767782,179.3712262953243,183.64812508494447,232.8206312224092
40.16,237.0,23.0,113.56127178752448,143.1175635042096,152.37863570353971,169.3802462700608,181.1934105291607,185.5137571877904,231.7670168020705
41.8,228.0,14.0,112.53139495269754,144.59878903451832,151.24257374947163,170.33495306725862,183.1630510493617,187.5303615010747,230.30391603018995
43.44,233.0,16.9,111.75475359017172,146.24022166752002,150.29702160092722,171.50794333142414,185.54750939833116,189.97167449299465,228.96955227899892
45.08,233.0,13.7,112.52141618376476,148.98152252230048,150.50438943429546,173.70489931213032,189.0563114786716,193.5641398881285,228.39821631212192
46.71,230.0,11.6,111.47700637351184,150.24610532269574,150.820552035277,175.96259188437932,192.73828173376876,197.33390245224132,230.72404305484977
48.35,226.0,11.6,113.81592748820351,153.91020569685313,154.34891721187148,180.92053026795017,198.95165174287695,203.69542306064164,236.5049382096381
49.99,225.0,11.6,116.61010376463956,157.74477016329408,158.17822519689923,186.02961901232217,205.27798236285773,210.17259769462711,242.41446571651943
