galaxy,variant_id,radius_kpc,K_variant,v_variant_kms,nfw_c,nfw_r200_kpc,claim_boundary
UGC12506,cm1_r200m1,0.82,0.19694213708311578,53.61874829985624,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,2.46,0.47465300262053184,95.7929994529927,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,4.1,0.6537094475772656,119.74411609479864,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,5.74,0.77273234798142,133.54686583262688,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,7.38,0.8532651153096869,142.5861146008878,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,9.02,0.9081174429605721,152.23757202462875,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,10.65,0.9451103126635476,159.18460552710545,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,12.29,0.9698840049855442,163.67168367972275,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,13.93,0.9856711328339284,166.03965804942172,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,15.57,0.9948927206417959,169.10910727289357,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,17.21,0.9992586137196608,171.64360016785798,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,18.85,1.0,172.19592313692837,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,20.49,0.9980182078602678,171.05614187505586,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,22.13,0.9939825367748866,169.38289799579795,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,23.77,0.9883961165189294,166.96110709236245,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,25.41,0.9816411759724722,164.301594929234,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,27.05,0.9740107389386828,162.52695182611467,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,28.68,0.9657832613760042,161.8810060115116,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,30.32,0.957033059584502,161.4782360010528,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,31.96,0.9479466556702085,160.42094286229832,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,33.6,0.9386322581173273,157.9754440598352,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,35.24,0.9291750928119615,155.33081563657728,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,36.88,0.9196424234728464,153.65861295966445,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
UGC12506,cm1_r200m1,38.52,0.9100873850457829,153.131102513919,14.27,121.5,ugc12506_source_native_nfw_hse_uncertainty_scan_diagnostic_not_endpoint
