galaxy,radius_kpc,vobs_kms,errv_kms,carrier_id,formula_id,selected_spin_normalization_route,beta_cl_value,v_carrier_kms,v_beta_cl_transfer_kms,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary,k_edgeon_vertical_halo,v_edgeon_vertical_halo_gated_beta_kms,r_on_kpc,r_full_kpc
NGC0891,0.92,234.0,12.0,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,199.63541995347416,287.8811966038934,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,199.63541995347416,11.042908224076282,16.56436233611442
NGC0891,2.32,192.0,12.0,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,237.98172167206457,343.1778930851814,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,237.98172167206457,11.042908224076282,16.56436233611442
NGC0891,3.24,212.0,6.3,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,255.44355325590035,368.3584596019941,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,255.44355325590035,11.042908224076282,16.56436233611442
NGC0891,4.17,223.0,4.41,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,241.06929501701373,347.63028088967724,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,241.06929501701373,11.042908224076282,16.56436233611442
NGC0891,5.1,222.0,4.01,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,225.9475401503632,325.8241861256486,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,225.9475401503632,11.042908224076282,16.56436233611442
NGC0891,6.03,224.0,3.85,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,214.443751715922,309.23532438579923,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,214.443751715922,11.042908224076282,16.56436233611442
NGC0891,6.96,224.0,3.23,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,206.5612896938824,297.86854087805114,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,206.5612896938824,11.042908224076282,16.56436233611442
NGC0891,7.89,226.0,3.4,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,197.70839145064124,285.1023546959061,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,197.70839145064124,11.042908224076282,16.56436233611442
NGC0891,8.8,226.0,3.21,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,192.99676694183248,278.30802880994753,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,192.99676694183248,11.042908224076282,16.56436233611442
NGC0891,9.73,227.0,2.75,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,184.2364491624825,265.67534686634565,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,184.2364491624825,11.042908224076282,16.56436233611442
NGC0891,10.64,227.0,2.65,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,177.93197787356831,256.5840807021024,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,177.93197787356831,11.042908224076282,16.56436233611442
NGC0891,11.58,224.0,2.35,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,173.0296830026571,249.51480154376492,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.026545629807957574,175.4912606171821,11.042908224076282,16.56436233611442
NGC0891,12.52,220.0,2.43,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,166.79591077121765,240.52548587142005,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.1764080457547413,181.9854324587748,11.042908224076282,16.56436233611442
NGC0891,13.46,218.0,2.3,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,163.72380920318216,236.09540890561476,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.40712756835547165,196.43306345601127,11.042908224076282,16.56436233611442
NGC0891,14.4,217.0,2.77,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,159.46102313731717,229.94832361487016,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.6594929236343626,208.6380896580083,11.042908224076282,16.56436233611442
NGC0891,15.33,216.0,4.43,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,154.51443783672775,222.8151761214605,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.8724120529889,215.310055547704,11.042908224076282,16.56436233611442
NGC0891,16.27,210.0,4.47,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,149.7426893040191,215.9341493086375,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.9917763942358682,215.47275247724184,11.042908224076282,16.56436233611442
NGC0891,17.11,208.0,4.35,BARYONIC_050_FAST_PACKET,NGC0891_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,2.0794639847286724,145.1589089584239,209.32417913817932,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,1.0,209.32417913817935,11.042908224076282,16.56436233611442
NGC4217,0.87,47.8,8.2,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,109.69136930497314,144.41539830179698,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,109.69136930497314,10.393325387365913,15.589988081048867
NGC4217,1.74,98.9,8.2,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,156.92569499607131,206.6022777383315,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,156.92569499607131,10.393325387365913,15.589988081048867
NGC4217,2.61,146.0,7.7,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,187.8942037424252,247.3742140698312,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,187.8942037424252,10.393325387365913,15.589988081048867
NGC4217,3.5,164.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,199.95519160551947,263.2532424491672,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,199.95519160551947,10.393325387365913,15.589988081048867
NGC4217,4.37,174.0,5.95,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,189.6952487544166,249.74540001102457,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,189.6952487544166,10.393325387365913,15.589988081048867
NGC4217,5.24,175.0,6.0,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,179.16247863322275,235.87836378099624,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,179.16247863322275,10.393325387365913,15.589988081048867
NGC4217,6.11,184.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,171.53028449810256,225.83011328577655,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,171.53028449810256,10.393325387365913,15.589988081048867
NGC4217,6.98,185.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,164.82326595477957,216.99991305681823,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,164.82326595477957,10.393325387365913,15.589988081048867
NGC4217,7.85,188.0,6.65,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,160.952999506067,211.9044705049896,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,160.952999506067,10.393325387365913,15.589988081048867
NGC4217,8.72,190.0,7.35,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,152.85172226703892,201.2386434062802,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,152.85172226703892,10.393325387365913,15.589988081048867
NGC4217,9.6,191.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_EDGEON_VERTICAL_HALO_GATED_BETA_V1,BULLOCK_DISK_CONVERSION,1.7333333333333334,145.1025713073342,191.0364120964029,False,True,False,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint,0.0,145.1025713073342,10.393325387365913,15.589988081048867
