galaxy,model_id,model_role,n_points,rmse_km_s,weighted_rmse_km_s,mae_km_s,bias_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
UGC12506,PRIOR_DIAGNOSTIC_TAU_BEST_FAMILY,prior_diagnostic_reference_not_same_carrier,31,37.36329931819013,,31.243325114856553,-30.460224997453818,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_MOND,prior_diagnostic_reference_not_same_carrier,31,38.12269540109571,,32.17266468984706,-30.656365269887132,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_TPG_V6,prior_diagnostic_reference_not_same_carrier,31,40.697842583379504,,35.84055667379126,-35.569908534110446,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_TAU_MATCHED,prior_diagnostic_reference_not_same_carrier,31,44.999238791738094,,41.054258168459405,-41.054258168459405,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,UGC12506_SOURCE_NATIVE_NFW_HSE_POSITIVE,source_native_nfw_highspin_envelope_positive_replay,31,77.54088578927833,77.89527171154442,77.0438415614564,-77.0438415614564,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
UGC12506,UGC12506_OLD_RD_PROXY_NFW_HSE_POSITIVE,old_rd_proxy_nfw_hse_reference,31,77.86165798669512,78.23934859785156,77.26399640671688,-77.26399640671688,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
UGC12506,UGC12506_EEA_POSITIVE_PREFROZEN,eea_reference,31,102.43209979325052,103.91359257212491,101.54205322052165,-101.54205322052165,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
UGC12506,UGC12506_SOURCE_ENVELOPE_SUPPORT_POSITIVE_PREFROZEN,envelope_reference,31,102.4787520989868,103.96573632989717,101.59629177442095,-101.59629177442095,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
UGC12506,BARYONIC_CARRIER_V050,carrier_reference,31,116.02345816251234,116.63683672546645,115.6176921293329,-115.6176921293329,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
UGC12506,PRIOR_DIAGNOSTIC_NEWTONIAN_vn,prior_diagnostic_reference_not_same_carrier,31,116.02345816251234,,115.6176921293329,-115.6176921293329,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,UGC12506_SOURCE_NATIVE_NFW_HSE_NEGATIVE,negative_sign_control,31,178.2691804739464,178.8191501063662,177.57043913275575,-177.57043913275575,False,True,False,ugc12506_source_native_nfw_hse_replay_not_validation
