galaxy,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,BETA_CL_TRANSFER_SOURCE_FROZEN,EDGEON_VERTICAL_HALO_GATED_BETA,current_minus_pure_beta_km_s,current_minus_carrier_km_s,current_beats_pure_beta,current_beats_carrier,claim_boundary
NGC0891,44.153662630839975,74.34556448807079,30.195252494044176,-44.150311994026616,-13.958410136795798,True,True,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint
NGC4217,47.62083817049286,54.99937353255324,37.655576431721364,-17.34379710083188,-9.965261738771495,True,True,beta_transfer_edgeon_vertical_halo_control_replay_not_endpoint
