galaxy,carrier_rmse_km_s,beta_rmse_km_s,delta_carrier_minus_beta_km_s,improved_over_carrier,claim_boundary
IC4202,74.94486386856575,33.145668826125174,41.79919504244057,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
ESO563-G021,117.979670125645,82.38513186301098,35.59453826263402,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC4013,68.95733651542552,38.137267645694834,30.82006886973069,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
UGC11455,60.052146253715186,39.48543240742348,20.566713846291705,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC0801,53.955412557620825,34.90938650074011,19.046026056880713,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC4157,52.881360670648775,36.16030540541304,16.721055265235734,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC2841,138.40141515343194,132.31083551733263,6.0905796360993065,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC7331,60.021703531382045,57.00889147029197,3.0128120610900737,True,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC3521,35.20819118432227,35.20819118432227,0.0,False,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC4217,47.62083817049287,54.99937353255324,-7.378535362060376,False,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
NGC0891,44.153662630839975,74.34556448807079,-30.191901857230818,False,ugc12506_beta_closure_transfer_figures_control_only_not_endpoint
