galaxy,BARYONIC_050_FAST_PACKET_CARRIER_REFERENCE,BETA_CL_TRANSFER_SOURCE_FROZEN,DISTRIBUTED_VERTICAL_HALO_BETA_V2,EDGEON_VERTICAL_HALO_GATED_BETA_V1,v2_minus_v1_km_s,v2_minus_carrier_km_s,v2_beats_v1,v2_beats_carrier,claim_boundary
NGC0891,44.153662630839975,74.34556448807079,23.068688482053542,30.195252494044176,-7.126564011990634,-21.084974148786433,True,True,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint
NGC4217,47.62083817049286,54.99937353255324,27.229845907907297,37.655576431721364,-10.425730523814067,-20.390992262585563,True,True,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint
