galaxy,radius_kpc,vobs_kms,errv_kms,carrier_id,formula_id,selected_spin_normalization_route,beta_cl_value,v_carrier_kms,v_beta_cl_transfer_kms,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
ESO563-G021,0.45,18.9,9.78,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,46.096291065551036,57.080040381905825,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,1.34,58.3,10.5,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,84.97302189518741,105.22025544859063,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,2.23,74.1,5.69,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,97.21304027752656,120.37680551778513,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,3.12,119.0,4.27,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,103.36486927384952,127.99448232899208,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,4.01,141.0,3.76,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,111.62387647810841,138.22143234679638,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,4.9,195.0,4.54,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,124.3023010647832,153.9208513381688,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,5.79,227.0,4.2,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,140.8485997445484,174.40977517520818,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,6.69,246.0,4.24,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,154.05735441711312,190.76589044340884,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,7.58,268.0,5.56,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,161.6799655183041,200.2048049290193,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
ESO563-G021,8.47,283.0,2.96,BARYONIC_050_FAST_PACKET,BETA_CL_TRANSFER_SOURCE_FROZEN,BULLOCK_DISK_CONVERSION,1.5333333333333332,170.95013541965972,211.68385584797593,False,True,False,ugc12506_beta_closure_transfer_scoring_runner_not_endpoint
