galaxy,r_kpc,vobs_km_s,err_km_s,v_base_km_s,v_full_time_km_s,K_time_shape,source_load,source_status,source_note,construction_used_vobs,epsilon_time_readout_source_frozen,Xi_t_time_readout,v_xi_base_time_readout_km_s,v_xi_full_time_readout_km_s,time_readout_construction_used_vobs,time_readout_endpoint_validation_claim,time_readout_claim_boundary
NGC4013,5.49,198.0,10.0,193.76211597911944,193.76211597911944,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,193.76211597911944,193.76211597911944,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,6.17,195.0,5.0,200.50158514555804,200.50158514555804,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,200.50158514555804,200.50158514555804,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,6.92,194.0,4.0,205.5400356321617,205.5400356321617,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,205.5400356321617,205.5400356321617,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,7.69,195.0,3.0,209.0779704538197,209.0779704538197,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,209.0779704538197,209.0779704538197,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,8.36,195.0,3.0,210.59636344323175,210.59636344323175,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,210.59636344323175,210.59636344323175,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,9.12,195.0,3.0,210.8277887587793,210.8277887587793,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,210.8277887587793,210.8277887587793,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,9.88,192.0,7.0,208.51382680035871,208.51382680035871,0.0,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0,208.51382680035871,208.51382680035871,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,10.56,188.0,8.0,202.53859516344423,202.66096198995737,0.4248946708112872,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0045888624447619,203.4680169164046,203.5909452674524,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,11.31,186.0,7.0,197.4185457711525,197.63742277518855,0.74098153892902,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0080026006204335,198.9984075480258,199.21903613731016,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,12.08,186.0,6.0,194.1811222709297,194.4055842640469,0.7474452378219925,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0080724085684776,195.74863162618615,195.97490556821987,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,12.77,186.0,5.0,191.85352179124797,192.0816624718771,0.7506012286365791,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0081064932692752,193.40878107433545,193.63877117585656,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,13.47,185.0,6.0,190.08075649647705,190.3114136416652,0.7518775306220159,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0081202773307179,191.6242649544611,191.85679509963649,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,14.17,180.0,10.0,188.5220858372379,188.7545801965386,0.7516592237658387,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.008117919616671,190.05249297603174,190.28687470585257,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,14.98,163.0,8.0,186.87303851997964,187.1074760403232,0.7513196004914772,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0081142516853079,188.389373387729,188.6257131931171,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,15.68,162.0,6.0,185.34133834594513,185.5786087161529,0.7541753298425425,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.0081450935622995,186.85096088773466,187.09016384730734,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,16.37,164.0,5.0,183.82135091306856,184.06237767559784,0.7598440582556372,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.008206315829161,185.3298469748042,185.5728516790701,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
NGC4013,17.19,166.0,5.0,182.1279814791714,182.37446330295944,0.769899378839548,0.18,warp_vertical_overlay,existing trial galaxy full-time/projection source status,False,0.010799999999999999,1.008314913291467,183.64235985312064,183.8908911519014,False,False,time_readout_xi_trial_diagnostic_not_endpoint_validation
