galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary
NGC4013,5.49,198.0,10.0,160.10672977735825,193.76211597911944,197.47638698193927,194.52803883863646,194.0971832524612,191.80368826958824,192.9386609825046,0.0,0.30331948794487756,0.35335689045936397,1.0,0.0,0.0,0.0,193.76211597911944,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,6.17,195.0,5.0,164.22333147272346,200.50158514555804,204.2874906511374,201.43614747520735,200.88130638869575,198.32853834825613,199.57511570895264,0.0,0.27922465121767454,0.3271537622682661,0.9314814814814815,0.0,0.0,0.0,200.50158514555804,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,6.92,194.0,4.0,166.28152191389157,205.5400356321617,209.32801015818936,206.68626942761279,205.96847551484936,203.12773712277055,204.49803026525183,0.0,0.256731267631333,0.3024193548387097,0.7925925925925925,0.0,0.0,0.0,205.5400356321617,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,7.69,195.0,3.0,166.75022479744968,209.0779704538197,212.81051655041065,210.46878439433553,209.55467765552714,206.42370377605764,207.91814429332823,0.0,0.2371202913662112,0.2806361085126286,0.6499999999999999,0.0,0.0,0.0,209.0779704538197,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,8.36,195.0,3.0,165.5469037161372,210.59636344323175,214.2240530294019,212.22734835044616,211.11470008506666,207.72850830674633,209.33213536389346,0.0,0.22234194226253018,0.2640845070422535,0.5259259259259259,0.0,0.0,0.0,210.59636344323175,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,9.12,195.0,3.0,162.65998592155356,210.8277887587793,214.2827639583525,212.76527025368551,211.39317772075026,207.71347802333844,209.44274593579686,0.0,0.20766109466737837,0.24752475247524758,0.38518518518518524,0.0,0.0,0.0,210.8277887587793,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,9.88,192.0,7.0,157.09293873373176,208.51382680035871,211.70998287138536,210.81082269105707,209.1298738133695,205.1281224025808,206.9963464368703,0.0,0.194798867857523,0.23291925465838512,0.2444444444444442,0.0,0.0,0.0,208.51382680035871,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,10.56,188.0,8.0,149.88698652651604,204.28531305430064,207.1938359584078,206.960921900581,204.95143463454002,200.62679480125385,202.63542562073312,0.4500740740740751,0.18457022563524772,0.22123893805309736,0.1185185185185183,0.07866209869355331,0.017027659114789245,-710.6065989120689,202.53859516344423,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,11.31,186.0,7.0,142.82472363004942,200.2125416781364,202.8697712552352,203.3402166258217,200.93077553792332,196.26751667383303,198.42241811076124,1.0,0.17446618300445227,0.20964360587002098,0.0,0.12803659629149108,0.027715552369925168,-1110.9796308228688,197.4185457711525,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,12.08,186.0,6.0,136.64702814185165,196.7834014689962,199.26624437577357,200.40858594380708,197.55080012747362,192.56604006123354,194.8585805329439,1.0,0.16518236398336958,0.19893899204244034,0.0,0.12137378534193663,0.02627328124470033,-1017.3988473103891,194.1811222709297,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,198.40520365083282,195.1153083623937,189.86753096942365,192.27152792928104,1.0,0.15766428147554543,0.19023462270133162,0.0,0.11596630139229235,0.025102745562427933,-947.7677537915661,191.85352179124797,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,197.0028760649589,193.24906395317367,187.76268228285906,190.26650918464426,1.0,0.1507056797581336,0.18214936247723132,0.0,0.11095168074512163,0.024017251374144795,-889.1140351696376,190.08075649647702,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,195.85530720849235,191.60745568351868,185.90179958008932,188.4964229201895,1.0,0.14433535759119975,0.17472335468841002,0.0,0.10635290409320325,0.023021773215356037,-837.4875485609809,188.52208583723794,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,194.73095355212436,189.87273505501435,183.93465723569014,186.62442248263207,1.0,0.13760478088276556,0.16685205784204674,0.0,0.10148561290827077,0.021968170826328483,-784.3938910349243,186.87303851997964,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint
