galaxy,radius_kpc,vobs_kms,errv_kms,carrier_id,formula_id,selected_spin_normalization_route,beta_cl_value,v_carrier_kms,v_beta_cl_transfer_kms,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary,v_edgeon_vertical_halo_gated_beta_kms,k_distributed_vertical_halo,v_distributed_vertical_halo_beta_kms,r_on_kpc,r_full_kpc
NGC0891,0.92,234.0,12.0,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,199.63541995347416,287.8811966038934,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,199.63541995347416,0.0,199.63541995347416,5.521454112038141,11.042908224076282
NGC0891,2.32,192.0,12.0,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,237.98172167206457,343.1778930851814,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,237.98172167206457,0.0,237.98172167206457,5.521454112038141,11.042908224076282
NGC0891,3.24,212.0,6.3,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,255.44355325590035,368.3584596019941,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,255.44355325590035,0.0,255.44355325590035,5.521454112038141,11.042908224076282
NGC0891,4.17,223.0,4.41,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,241.06929501701373,347.63028088967724,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,241.06929501701373,0.0,241.06929501701373,5.521454112038141,11.042908224076282
NGC0891,5.1,222.0,4.01,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,225.9475401503632,325.8241861256486,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,225.9475401503632,0.0,225.9475401503632,5.521454112038141,11.042908224076282
NGC0891,6.03,224.0,3.85,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,214.443751715922,309.23532438579923,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,214.443751715922,0.02388658415593174,217.19084088206807,5.521454112038141,11.042908224076282
NGC0891,6.96,224.0,3.23,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,206.5612896938824,297.86854087805114,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,206.5612896938824,0.16826891351222847,224.53888984962487,5.521454112038141,11.042908224076282
NGC0891,7.89,226.0,3.4,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,197.70839145064124,285.1023546959061,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,197.70839145064124,0.3941737840528163,236.05226158070568,5.521454112038141,11.042908224076282
NGC0891,8.8,226.0,3.21,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,192.99676694183248,278.30802880994753,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,192.99676694183248,0.6390248888171738,250.88127380690673,5.521454112038141,11.042908224076282
NGC0891,9.73,227.0,2.75,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,184.2364491624825,265.67534686634565,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,184.2364491624825,0.8572665361946877,255.64348229410854,5.521454112038141,11.042908224076282
NGC0891,10.64,227.0,2.65,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,177.93197787356831,256.5840807021024,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,177.93197787356831,0.984802645167904,255.569974221949,5.521454112038141,11.042908224076282
NGC0891,11.58,224.0,2.35,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,173.0296830026571,249.51480154376492,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,175.4912606171821,1.0,249.51480154376495,5.521454112038141,11.042908224076282
NGC0891,12.52,220.0,2.43,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,166.79591077121765,240.52548587142005,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,181.9854324587748,1.0,240.5254858714201,5.521454112038141,11.042908224076282
NGC0891,13.46,218.0,2.3,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,163.72380920318216,236.09540890561476,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,196.43306345601127,1.0,236.0954089056148,5.521454112038141,11.042908224076282
NGC0891,14.4,217.0,2.77,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,159.46102313731717,229.94832361487016,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,208.6380896580083,1.0,229.94832361487022,5.521454112038141,11.042908224076282
NGC0891,15.33,216.0,4.43,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,154.51443783672775,222.8151761214605,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,215.310055547704,1.0,222.81517612146052,5.521454112038141,11.042908224076282
NGC0891,16.27,210.0,4.47,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,149.7426893040191,215.9341493086375,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,215.47275247724184,1.0,215.93414930863756,5.521454112038141,11.042908224076282
NGC0891,17.11,208.0,4.35,BARYONIC_050_FAST_PACKET,NGC0891_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,2.0794639847286724,145.1589089584239,209.32417913817932,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,209.32417913817935,1.0,209.32417913817935,5.521454112038141,11.042908224076282
NGC4217,0.87,47.8,8.2,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,109.69136930497314,144.41539830179698,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,109.69136930497314,0.0,109.69136930497314,5.196662693682956,10.393325387365913
