galaxy,n_rotmod_points,radius_min_kpc,radius_max_kpc,vobs_min_kms,vobs_max_kms,vobs_last_kms,errv_median_kms,v_baryon_050_last_kms,distance_mpc_from_rotmod_header,source_file,hubble_type_T,distance_mpc,distance_error_mpc,distance_method_flag,inclination_deg,inclination_error_deg,luminosity_36_1e9_lsun,luminosity_36_error_1e9_lsun,reff_kpc,sbeff_lsun_pc2,rdisk_kpc,sbdisk0_lsun_pc2,mhi_1e9_msun,rhi_kpc,vflat_kms,vflat_error_kms,quality_Q,rotation_curve_ref,has_master_row,rotation_curve_data_ready,fast_packet_role,source_url,secondary_source_url,claim_boundary,in_projection_enriched_queue
CamB,9,0.16,1.79,1.99,20.1,20.1,1.5,12.60563961090432,3.36,data/external/sparc/rotmod_ltg/CamB_rotmod.dat,10,3.36,0.26,2,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,Bm03,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
IC2574,34,0.85,10.23,10.3,67.5,67.5,2.1,32.023262638275945,3.91,data/external/sparc/rotmod_ltg/IC2574_rotmod.dat,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
IC4202,32,0.77,25.9,35.1,250.0,247.0,5.8100000000000005,143.77282166668357,100.4,data/external/sparc/rotmod_ltg/IC4202_rotmod.dat,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
NGC6789,4,0.1,0.71,13.9,60.4,60.4,4.01,19.215497651635257,3.52,data/external/sparc/rotmod_ltg/NGC6789_rotmod.dat,11,3.52,0.18,2,43.0,7.0,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC04305,22,0.25,5.52,3.17,37.3,33.0,3.225,33.23266465392145,3.45,data/external/sparc/rotmod_ltg/UGC04305_rotmod.dat,10,3.45,0.17,2,40.0,10.0,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC06818,8,0.87,6.98,23.4,74.4,74.4,5.225,32.26467650542928,18.0,data/external/sparc/rotmod_ltg/UGC06818_rotmod.dat,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC06917,11,1.74,10.47,59.2,111.0,111.0,4.0,56.30344261233055,18.0,data/external/sparc/rotmod_ltg/UGC06917_rotmod.dat,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC06983,17,1.74,15.68,56.9,113.0,109.0,5.2,49.05923103759373,18.0,data/external/sparc/rotmod_ltg/UGC06983_rotmod.dat,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC07151,11,0.5,5.5,24.2,76.2,76.2,2.4,44.10468002377979,6.87,data/external/sparc/rotmod_ltg/UGC07151_rotmod.dat,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC07577,9,0.19,1.69,3.74,17.8,17.8,3.17,12.394468524305509,2.59,data/external/sparc/rotmod_ltg/UGC07577_rotmod.dat,10,2.59,0.13,2,63.0,3.0,0.045,0.002,0.77,11.94,0.9,54.55,0.044,2.07,0.0,0.0,2,"Sw09,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGC12506,31,0.82,49.99,107.0,255.0,225.0,11.6,116.61010376463955,100.6,data/external/sparc/rotmod_ltg/UGC12506_rotmod.dat,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
UGCA444,36,0.12,2.62,6.48,38.3,38.3,3.645,14.300256990697754,0.98,data/external/sparc/rotmod_ltg/UGCA444_rotmod.dat,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint,True
