galaxy,curve,rmse_km_s,n_points,claim_boundary
UGC12506,Newtonian,116.02345816251234,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,TPG/v6,40.697842583379504,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,MOND,38.12269540109571,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,Tau simple,102.4787520989868,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,Tau source-native NFW/HSE,77.54088578927833,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,Tau observer projection,102.43209979325052,31,tau_projection_kernel_rotation_comparison_not_population_validation
UGC12506,Tau morph-observer projection,69.17884679750473,31,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,Newtonian,86.48374825501512,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,TPG/v6,16.785509985459306,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,MOND,18.59536481497724,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,Tau simple,17.02530066461074,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,Tau observer projection,15.495197149438468,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC5907,Tau morph-observer projection,16.372531840422564,19,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,Newtonian,65.6912991112144,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,TPG/v6,12.273912532057183,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,MOND,14.334222058319126,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,Tau simple,10.880207082032724,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,Tau observer projection,11.450495413211733,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4013,Tau morph-observer projection,10.614758288774297,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,Newtonian,59.354351789327744,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,TPG/v6,25.485065060071012,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,MOND,29.311675230419702,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,Tau simple,23.472976891253797,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,Tau observer projection,22.255665651220575,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC7331,Tau morph-observer projection,22.130848896108393,36,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4088,Newtonian,25.396289301523897,12,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4088,TPG/v6,38.98773649865968,12,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4088,MOND,42.18384581680386,12,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4088,Tau simple,38.45537793639492,12,tau_projection_kernel_rotation_comparison_not_population_validation
NGC4088,Tau morph-observer projection,11.619037989026097,12,tau_projection_kernel_rotation_comparison_not_population_validation
