galaxy,conversion_proxy_status,Rdisk_kpc,Vflat_km_s,V200_NFW_flat_km_s,R200_NFW_flat_kpc,j_disk_kpc_km_s,lambda_bullock_disk_proxy,lambda_ref,nfw_preference_load,edgeon_load,beta_if_bullock_disk_proxy_used,accepted_as_beta_cl_lambda_spin,proxy_review_required,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
NGC0891,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,2.55,216.1,127.04,174.02739726027397,1102.11,0.03524940861041129,0.1,0.2254335260115607,1.0,2.079463984728673,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC7331,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,5.02,239.0,195.09,267.24657534246575,2399.56,0.032543889646511906,0.1,0.1728395061728393,0.0,1.056248698154465,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC2841,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,3.64,284.8,229.93,314.972602739726,2073.344,0.020243609349414885,0.1,0.0675675675675675,0.0666666666666666,1.0803447810919469,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC0801,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,8.72,220.1,260.74,357.17808219178085,3838.5440000000003,0.029144664686049825,0.1,0.0443131462333827,0.3333333333333333,1.3462482512148917,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC4013,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,3.53,172.9,315.92,432.7671232876712,1220.674,0.006313254764453602,0.1,0.0370370370370369,0.9333333333333332,1.9356715758386862,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
ESO563-G021,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,5.45,314.6,497.1,680.9589041095891,3429.1400000000003,0.007163174850163,0.1,0.0,0.5333333333333333,1.5333333333333332,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
UGC11455,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,5.93,269.4,499.8,684.6575342465753,3195.0839999999994,0.006602336256184211,0.1,0.0,1.0,2.0,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
IC4202,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,4.78,242.6,132.83,181.95890410958904,2319.256,0.06785224253831829,0.1,0.0,1.0,2.0,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC4157,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,2.32,184.7,280.08,383.67123287671234,857.0079999999999,0.0056393434209778106,0.1,0.0,0.4666666666666667,1.4666666666666668,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC3521,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,2.4,213.7,444.69,609.1643835616438,1025.76,0.002677558049830355,0.1,0.0,0.0,1.0,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
NGC4217,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,2.94,181.3,154.33,211.41095890410958,1066.044,0.023103739550027723,0.1,0.0,0.7333333333333333,1.7333333333333334,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint
