model_id,model_role,channel_policy,rmse_km_s,weighted_rmse_km_s,mae_km_s,endpoint_validation_claim
UGC12506_THETA_XIT_CAP_ONLY_COMBINED_CONTROL,ledger_strict_combined_control,theta_only_shape_plus_xit_only_cap,60.30868481871187,61.42775031531476,58.47951630897336,False
UGC12506_THETA_XIT_SHARED_KT_HIGH_STRESS_CONTROL,shared_context_stress_control_high,theta_shape_plus_caveated_shared_context_xit_shape,63.21413503758809,64.48734962332087,61.210768221559704,False
UGC12506_THETA_XIT_SHARED_KT_MID_STRESS_CONTROL,shared_context_stress_control_mid,theta_shape_plus_caveated_shared_context_xit_shape,63.66138776761902,64.90008899993207,61.82922729760265,False
UGC12506_THETA_MORPH_PHASE,theta_additive_diagnostic_base,theta_only_late_settling_shape,64.11917934006436,65.32423872919013,62.44768637364558,False
UGC12506_PROJECTION_HISTORY,projection_history_reference,reference_only,69.17884679750473,70.0189042275307,68.42763012465839,False
UGC12506_SOURCE_NATIVE_NFW_HSE,source_native_reference,reference_only,77.54088578927833,77.89527171154442,77.0438415614564,False
NEWTONIAN_BARYONIC_V050,baseline_reference,reference_only,116.02345816251234,116.63683672546644,115.6176921293329,False
