galaxy,model_id,model_role,n_points,rmse_km_s,weighted_rmse_km_s,mae_km_s,bias_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
UGC12506,PRIOR_DIAGNOSTIC_TAU_BEST_FAMILY,prior_diagnostic_reference_not_same_carrier,31,37.36329931819013,,31.243325114856553,-30.460224997453818,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_MOND,prior_diagnostic_reference_not_same_carrier,31,38.12269540109571,,32.17266468984706,-30.656365269887132,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_TPG_V6,prior_diagnostic_reference_not_same_carrier,31,40.697842583379504,,35.84055667379126,-35.569908534110446,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,PRIOR_DIAGNOSTIC_TAU_MATCHED,prior_diagnostic_reference_not_same_carrier,31,44.999238791738094,,41.054258168459405,-41.054258168459405,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,UGC12506_COMBINED_HIGHS_PIN_ASYMMETRY_POSITIVE_PREFROZEN,combined_positive_branch,31,109.37160847836459,110.33323193034087,109.04063639372856,-109.04063639372856,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_PROJECTION_ASYMMETRY_POSITIVE_PREFROZEN,source_prefrozen_positive_branch,31,110.86857191268807,111.75228504516517,110.54764222907136,-110.54764222907136,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_SPLIT_HS_MINUS_PA_PLUS_CONTROL,split_sign_control,31,112.41615681938767,113.21897275971637,112.08850402981672,-112.08850402981672,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_HIGHS_PIN_POSITIVE_PREFROZEN,source_prefrozen_positive_branch,31,114.35106076130374,115.05236779004672,113.99195604381792,-113.99195604381792,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,BARYONIC_CARRIER_V050,carrier_reference,31,116.02345816251234,116.63683672546645,115.6176921293329,-115.6176921293329,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,PRIOR_DIAGNOSTIC_NEWTONIAN_vn,prior_diagnostic_reference_not_same_carrier,31,116.02345816251234,,115.6176921293329,-115.6176921293329,False,True,False,prior_multigalaxy_fit_inspection_reference_not_endpoint_validation
UGC12506,UGC12506_HIGHS_PIN_NEGATIVE_ATTENUATION_CONTROL,negative_sign_control,31,117.75996987393478,118.2820118759071,117.28767485803517,-117.28767485803517,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_SPLIT_HS_PLUS_PA_MINUS_CONTROL,split_sign_control,31,119.94354949310734,120.35094234769694,119.36280503770547,-119.36280503770547,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_PROJECTION_ASYMMETRY_NEGATIVE_CONTROL,negative_sign_control,31,121.84382962829187,122.15190898566308,121.14732434968853,-121.14732434968853,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
UGC12506,UGC12506_COMBINED_HIGHS_PIN_ASYMMETRY_NEGATIVE_CONTROL,combined_negative_control,31,123.83181920716099,124.03680056001316,122.99387594280073,-122.99387594280073,False,True,False,ugc12506_prefrozen_branch_replay_controls_not_validation
