galaxy,model_id,model_role,n_points,rmse_km_s,weighted_rmse_km_s,mae_km_s,bias_km_s,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary
NGC4013,base_projection_morphology_kernel,v_wvo_endpoint,36,11.450495413211733,11.84837273027932,9.772576151839822,5.689546738973908,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4013,full_time_morphology_phase_kernel,diagnostic_phase_enriched,36,11.51064110706685,11.892525115343208,9.824947194833932,5.914445206346608,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4013,carrier_reference,v_v6,36,12.273912532057183,12.436908184432953,10.51317958681637,6.976160799448241,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4013,MOND_v_mond,baseline,36,14.334222058319126,14.87214089556428,11.940526592221131,11.652644110903989,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4013,NEWTONIAN_vn,baseline,36,65.6912991112144,62.21700716865304,61.89739219678362,-61.89739219678362,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,full_time_morphology_phase_kernel,diagnostic_phase_enriched,12,9.391189531692833,,7.906409277901408,-2.4820172651971433,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,base_projection_morphology_kernel,v_warp_history_formula_freeze_km_s,12,11.619037989026097,,9.64301899012717,-4.276677965661871,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,carrier_reference,vn,12,25.396289301523897,,20.14829671825156,-14.866396779224035,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,TPG_V6_v_v6,baseline,12,38.98773649865968,,37.98427345369512,37.98427345369512,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4088,MOND_v_mond,baseline,12,42.18384581680386,,41.21370829714395,41.21370829714395,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,carrier_reference,v_K_exponential_disk,23,6.224581287933665,6.2281060368748244,4.861061606453334,-2.8474418316298746,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,full_time_morphology_phase_kernel,diagnostic_phase_enriched,23,6.245360874977288,6.246354242182931,4.873508898531283,-2.903100651199011,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,base_projection_morphology_kernel,v_null_control_interval_midpoint_km_s,23,6.247271806202044,6.246443913188291,4.875029112322313,-2.914307119829639,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,TPG_V6_v_v6,baseline,23,6.489693491114096,6.814155935330285,5.691795954294289,1.525545769954252,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,MOND_v_mond,baseline,23,10.354993594406714,10.758998675072991,9.238435646259008,6.133752603613956,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC4183,NEWTONIAN_vn,baseline,23,48.41085618248364,48.37826090747832,47.48360801611337,-47.48360801611337,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,full_time_morphology_phase_kernel,diagnostic_phase_enriched,19,15.49504368708925,8.751337283203199,9.21683070105838,-6.209060867777931,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,base_projection_morphology_kernel,v_projection_accepted,19,15.495197149438468,8.72696088840644,9.25559096706353,-6.332779810240593,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,carrier_reference,v_v6,19,16.785509985459306,11.673957734102455,11.474535051084796,-1.0070373834271935,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,MOND_v_mond,baseline,19,18.59536481497724,15.358623367033593,15.131128882572375,4.349801671850053,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC5907,NEWTONIAN_vn,baseline,19,86.48374825501512,85.46731846094684,85.67165917635336,-85.67165917635336,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,base_projection_morphology_kernel,v_mixed_population,36,22.255665651220575,17.211714808838437,17.631008803933224,16.255883435225396,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,full_time_morphology_phase_kernel,diagnostic_phase_enriched,36,22.27851160075763,17.270475084061097,17.66042974907885,16.373181325382983,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,carrier_reference,v_K_exponential_disk,36,23.472976891253797,19.595310389528592,19.563153539286652,19.19144594946611,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,TPG_V6_v_v6,baseline,36,25.485065060071012,22.42399344687069,22.215153144061194,22.205582206645715,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,MOND_v_mond,baseline,36,29.311675230419702,26.096580888135005,26.45195397689002,26.45195397689002,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
NGC7331,NEWTONIAN_vn,baseline,36,59.354351789327744,61.348600207614844,51.459217399881524,-42.04936688516623,False,True,False,full_time_morphology_kernel_trial_diagnostic_not_endpoint_validation
