check_id,result,reason,endpoint_scores_allowed,claim_boundary
BSP_INTAKE_1_SOURCE_FIELDS,PASS,source_fields_decision=ACCEPT_SOURCE_FIELDS,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
BSP_INTAKE_2_WEIGHT_RULE,PASS,weight_rule_decision=ACCEPT_BULLOCK_CONVERSION,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
BSP_INTAKE_2B_SELECTED_SPIN_ROUTE,PASS,selected_spin_normalization_route=BULLOCK_DISK_CONVERSION,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
BSP_INTAKE_3_DEFINITION_BOUNDARY,PASS,definition_boundary_decision=ACCEPT_CONTEXT_ONLY,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
BSP_INTAKE_4_TRANSFER_SCOPE,PASS,transfer_scope_decision=ACCEPT_TARGET_SET,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
BSP_INTAKE_5_FORBIDDEN_INPUTS,PASS,forbidden_inputs_used=False,False,ugc12506_beta_closure_spin_proxy_review_response_intake_not_endpoint
