input_id,path,exists,n_rows,n_columns,endpoint_scores_allowed,claim_boundary
decision_matrix_summary,data/derived/ugc12506_beta_closure_spin_route_decision_matrix_summary.csv,True,1,13,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
review_intake_summary,data/derived/ugc12506_beta_closure_spin_proxy_review_response_intake_summary.csv,True,1,10,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
spin_route_prefreeze_summary,data/derived/ugc12506_beta_closure_spin_route_prefreeze_summary.csv,True,1,9,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
spin_route_prefreeze_values,data/derived/ugc12506_beta_closure_spin_route_prefreeze_values.csv,True,11,10,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
transfer_carrier_freeze_summary,data/derived/ugc12506_beta_closure_transfer_carrier_freeze_summary.csv,True,1,14,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
transfer_carrier_manifest,data/derived/ugc12506_beta_closure_transfer_carrier_manifest.csv,True,1,9,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
transfer_candidates,data/derived/ugc12506_beta_closure_transfer_candidates.csv,True,11,15,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
halo_fit_fields,data/derived/ugc12506_beta_closure_transfer_halo_fit_fields.csv,True,11,12,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
priority_gate,data/derived/ugc12506_beta_closure_transfer_priority_gate.csv,True,11,14,False,ugc12506_beta_closure_scoring_launch_gate_not_endpoint
