dry_run_scenario_id,selected_spin_normalization_route,selected_carrier_id,n_formula_rows_if_accepted,n_fast_sparc_covered_galaxies,n_missing_fast_sparc_galaxies,missing_fast_sparc_galaxies,n_prediction_rows_without_vobs,min_beta_cl_value,max_beta_cl_value,mean_beta_cl_value,contract_ready_if_reviews_accept,construction_used_vobs,scoring_used_vobs,endpoint_scores_allowed,endpoint_validation_claim,claim_boundary
IF_REVIEW_ACCEPTS_EXPOSURE_PROXY_AND_BARYONIC_CARRIER,EXPOSURE_PROXY,BARYONIC_050_FAST_PACKET,11,11,0,,328,1.0,2.33649807616312,1.6246643638284615,True,False,False,False,False,ugc12506_beta_closure_transfer_scoring_contract_dry_run_not_endpoint
IF_REVIEW_ACCEPTS_BULLOCK_DISK_CONVERSION_AND_BARYONIC_CARRIER,BULLOCK_DISK_CONVERSION,BARYONIC_050_FAST_PACKET,11,11,0,,328,1.0,2.0794639847286724,1.5664827840329087,True,False,False,False,False,ugc12506_beta_closure_transfer_scoring_contract_dry_run_not_endpoint
