galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,v_wvo_endpoint,W_warp,K_z,K_EC,K_lag,K_wvo,mixed_attenuation,delta_v2_expdisk_wvo_frozen,v_expdisk_wvo_frozen,retrospective_endpoint_scores_allowed,prospective_endpoint_protocol_ready,claim_boundary
NGC4013,5.49,198.0,10.0,160.10672977735825,193.76211597911944,197.47638698193927,191.80368826958824,193.76211597911944,0.0,0.30331948794487756,0.35335689045936397,1.0,0.0,0.0,0.0,191.80368826958824,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,6.17,195.0,5.0,164.22333147272346,200.50158514555804,204.2874906511374,198.32853834825613,200.50158514555804,0.0,0.27922465121767454,0.3271537622682661,0.9314814814814815,0.0,0.0,0.0,198.32853834825613,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,6.92,194.0,4.0,166.28152191389157,205.5400356321617,209.32801015818936,203.12773712277055,205.5400356321617,0.0,0.256731267631333,0.3024193548387097,0.7925925925925925,0.0,0.0,0.0,203.12773712277055,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,7.69,195.0,3.0,166.75022479744968,209.0779704538197,212.81051655041065,206.42370377605764,209.0779704538197,0.0,0.2371202913662112,0.2806361085126286,0.6499999999999999,0.0,0.0,0.0,206.42370377605764,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,8.36,195.0,3.0,165.5469037161372,210.59636344323175,214.2240530294019,207.72850830674633,210.59636344323175,0.0,0.22234194226253018,0.2640845070422535,0.5259259259259259,0.0,0.0,0.0,207.72850830674633,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,9.12,195.0,3.0,162.65998592155356,210.8277887587793,214.2827639583525,207.71347802333844,210.8277887587793,0.0,0.20766109466737837,0.24752475247524758,0.38518518518518524,0.0,0.0,0.0,207.71347802333844,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,9.88,192.0,7.0,157.09293873373176,208.51382680035871,211.70998287138536,205.1281224025808,208.51382680035871,0.0,0.194798867857523,0.23291925465838512,0.2444444444444442,0.0,0.0,0.0,205.1281224025808,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,10.56,188.0,8.0,149.88698652651604,204.28531305430064,207.1938359584078,200.62679480125385,202.53859516344423,0.4500740740740751,0.18457022563524772,0.22123893805309736,0.1185185185185183,0.07866209869355331,0.017027659114789245,-685.382193561607,198.91135864666657,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,11.31,186.0,7.0,142.82472363004942,200.2125416781364,202.8697712552352,196.26751667383303,197.4185457711525,1.0,0.17446618300445227,0.20964360587002098,0.0,0.12803659629149108,0.027715552369925168,-1067.6290772855937,193.52857417970023,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,12.08,186.0,6.0,136.64702814185165,196.7834014689962,199.26624437577357,192.56604006123354,194.1811222709297,1.0,0.16518236398336958,0.19893899204244034,0.0,0.12137378534193663,0.02627328124470033,-974.2574020136672,190.01953158254796,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
