galaxy,nfw_c,nfw_c_err,nfw_r200_kpc,nfw_r200_err_kpc,chi2_nfw,iso_rho_c_1e_minus3_msun_pc3,iso_rho_c_err,iso_rc_kpc,iso_rc_err_kpc,chi2_iso,lambda_spin,source_id,source_table,text_line_range,residual_blind_source_extraction,endpoint_scores_allowed,claim_boundary
UGC9037,2.67,0.5,121.0,12.0,1.29,18.0,2.0,5.16,0.4,0.65,0.07,UGC12506_HI_SRC1_HIGHMASS_VLA,Hallenbeck2014 Table 5,1268-1330,True,False,ugc12506_table5_halo_parameter_extraction_source_native_not_endpoint
UGC12506,14.87,0.6,123.0,1.5,0.21,1150.0,360.0,0.91,0.15,0.54,0.15,UGC12506_HI_SRC1_HIGHMASS_VLA,Hallenbeck2014 Table 5,1268-1330,True,False,ugc12506_table5_halo_parameter_extraction_source_native_not_endpoint
