galaxy,n_rotmod_points,radius_min_kpc,radius_max_kpc,vobs_min_kms,vobs_max_kms,vobs_last_kms,errv_median_kms,v_baryon_050_last_kms,distance_mpc_from_rotmod_header,source_file,hubble_type_T,distance_mpc,distance_error_mpc,distance_method_flag,inclination_deg,inclination_error_deg,luminosity_36_1e9_lsun,luminosity_36_error_1e9_lsun,reff_kpc,sbeff_lsun_pc2,rdisk_kpc,sbdisk0_lsun_pc2,mhi_1e9_msun,rhi_kpc,vflat_kms,vflat_error_kms,quality_Q,rotation_curve_ref,has_master_row,rotation_curve_data_ready,fast_packet_role,source_url,secondary_source_url,claim_boundary
CamB,9,0.16,1.79,1.99,20.1,20.1,1.5,12.60563961090432,3.36,data/external/sparc/rotmod_ltg/CamB_rotmod.dat,10,3.36,0.26,2,65.0,5.0,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,Bm03,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
D512-2,4,0.96,3.83,22.9,37.2,35.9,3.45,16.3417043174817,15.2,data/external/sparc/rotmod_ltg/D512-2_rotmod.dat,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,Tr09,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
D564-8,6,0.51,3.07,8.54,25.0,25.0,1.81,8.878223358307675,8.79,data/external/sparc/rotmod_ltg/D564-8_rotmod.dat,10,8.79,0.28,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,Tr09,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
D631-7,16,0.45,7.19,8.41,58.5,57.3,2.205,18.238533384019668,7.72,data/external/sparc/rotmod_ltg/D631-7_rotmod.dat,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
DDO064,14,0.1,2.98,6.29,46.9,46.9,4.62,25.290333133432625,6.8,data/external/sparc/rotmod_ltg/DDO064_rotmod.dat,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
DDO154,12,0.49,5.92,13.8,48.2,45.5,0.55,16.25433480644471,4.04,data/external/sparc/rotmod_ltg/DDO154_rotmod.dat,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
DDO161,31,0.6,13.37,16.0,67.5,66.1,2.09,29.423462576658103,7.5,data/external/sparc/rotmod_ltg/DDO161_rotmod.dat,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
DDO168,10,0.41,4.12,15.0,55.0,52.0,1.6,25.51658382307475,4.25,data/external/sparc/rotmod_ltg/DDO168_rotmod.dat,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
DDO170,8,1.87,12.33,27.7,62.2,62.2,1.15,27.067693843399365,15.4,data/external/sparc/rotmod_ltg/DDO170_rotmod.dat,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
ESO079-G014,15,0.41,16.67,33.2,178.0,178.0,5.1,96.72634878873492,28.7,data/external/sparc/rotmod_ltg/ESO079-G014_rotmod.dat,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
ESO116-G012,15,0.25,9.86,20.9,112.0,112.0,2.96,47.032811950807286,13.0,data/external/sparc/rotmod_ltg/ESO116-G012_rotmod.dat,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
ESO444-G084,7,0.26,4.44,18.3,63.1,62.7,3.0,15.658318875281598,4.83,data/external/sparc/rotmod_ltg/ESO444-G084_rotmod.dat,10,4.83,0.48,2,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2,Co00,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
ESO563-G021,30,0.45,42.41,18.9,321.0,312.0,8.95,146.0616998052535,60.8,data/external/sparc/rotmod_ltg/ESO563-G021_rotmod.dat,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
