galaxy,conversion_proxy_status,Rdisk_kpc,Vflat_km_s,V200_NFW_flat_km_s,R200_NFW_flat_kpc,j_disk_kpc_km_s,lambda_bullock_disk_proxy,lambda_ref,nfw_preference_load,edgeon_load,beta_if_bullock_disk_proxy_used,accepted_as_beta_cl_lambda_spin,proxy_review_required,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary,lambda_spin_proxy_candidate,spin_envelope_exposure_proxy,transfer_proxy_class,exposure_minus_bullock_lambda
NGC0891,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,2.55,216.1,127.04,174.02739726027397,1102.11,0.03524940861041129,0.1,0.2254335260115607,1.0,2.079463984728673,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint,0.1492670953236405,0.4926709532364054,PRIMARY_PROXY_TRANSFER_REVIEW_TARGET,0.1140176867132292
NGC7331,CONVERSION_PROXY_COMPUTED_REVIEW_REQUIRED,5.02,239.0,195.09,267.24657534246575,2399.56,0.032543889646511906,0.1,0.1728395061728393,0.0,1.056248698154465,False,True,False,False,ugc12506_beta_closure_bullock_spin_conversion_proxy_gate_not_endpoint,0.1357578448582519,0.3575784485825192,SECONDARY_PROXY_TRANSFER_REVIEW_TARGET,0.10321395521174
